matrix_key,kappa,floor_h,usable_voters,B_size,cell_slack_float,supports,certificate_type,committee,deficit_voter,singleton_margin,worst_price_margin,certificate_detail
54386659905087,3,1 2 2 1 1 1 1 3,1 2 3 4 5 6 7,7,0.0769230769231,2348 | 2358 | 1268 | 1378 | 23678 | 45678,fixed coalitionwise price-saturation,1 3 4,5,1/12,1/3,95 coalition domains; 7 x-vertices; 3 base dual vertices
54386663042360,3,1 2 2 1 2 1 1 1,1 2 3 4 5 6 7 8,8,0.0909090909091,234 | 2356 | 1257 | 1358 | 23678 | 45678,fixed coalitionwise price-saturation,1 2 3,8,1/12,1/4,110 coalition domains; 11 x-vertices; 3 base dual vertices
63113965763120,3,1 1 2 2 0 2 1 1,1 2 3 4 6 7 8,7,0.0769230769231,346 | 1236 | 1246 | 1347 | 2348 | 5678,fixed coalitionwise price-saturation,1 5 6,1,1/12,1/2,109 coalition domains; 7 x-vertices; 5 base dual vertices
63179617918000,3,1 2 1 1 2 2 1 1,1 2 3 4 5 6,6,0.0833333333333,256 | 1245 | 1246 | 1356 | 2378 | 45678,fixed coalitionwise price-saturation,1 3 5,5,1/8,9/14,53 coalition domains; 7 x-vertices; 4 base dual vertices
63179617918001,3,1 2 1 1 2 2 1 1,1 2 3 4 5 6 7,7,0.0769230769231,2568 | 1245 | 1246 | 1356 | 2378 | 45678,fixed coalitionwise price-saturation,1 3 5,5,1/8,1/4,92 coalition domains; 7 x-vertices; 4 base dual vertices
67158734424824,3,2 1 1 1 0 1 2 1,1 2 3 4 6 7 8,7,0.0769230769231,127 | 137 | 146 | 1478 | 2348 | 5678,fixed coalitionwise price-saturation,2 3 4,2,1/12,1/12,106 coalition domains; 7 x-vertices; 4 base dual vertices
67160848878200,3,2 1 1 1 1 1 1 1,1 2 3 4 5 6 7 8,8,0.0909090909091,127 | 145 | 136 | 1478 | 2348 | 5678,fixed coalitionwise price-saturation,1 2 3,8,1/40,1/6,127 coalition domains; 11 x-vertices; 5 base dual vertices
67163114868412,3,2 1 1 1 1 1 2 2,1 2 3 4 5 7 8,7,0.0769230769231,124 | 1357 | 1358 | 1678 | 2378 | 45678,fixed coalitionwise price-saturation,1 3 4,7,1/8,3/14,105 coalition domains; 7 x-vertices; 5 base dual vertices
67169506183730,3,2 1 1 2 1 1 1 1,1 2 4 5 6 7 8,7,0.0769230769231,125 | 1458 | 1346 | 1347 | 2348 | 5678,fixed coalitionwise price-saturation,1 3 5,7,1/12,1/4,120 coalition domains; 7 x-vertices; 4 base dual vertices
67169558932922,3,2 1 1 1 1 1 2 2,1 2 3 4 5 7 8,7,0.0769230769231,124 | 1678 | 1357 | 1358 | 23678 | 45678,fixed coalitionwise price-saturation,1 5 6,1,1/48,1/4,74 coalition domains; 7 x-vertices; 4 base dual vertices
67169558949562,3,2 1 1 1 1 2 2 2,1 2 3 4 5 6,6,0.0909090909091,124 | 1678 | 1356 | 13578 | 23678 | 45678,fixed coalitionwise price-saturation,1 2 4,6,1/8,19/28,47 coalition domains; 7 x-vertices; 4 base dual vertices
